name,location,cuisines,rate,approx_cost(for two people)
Veruthe Oru Thattukada,BTM,"Kerala, South Indian",3.7/5,400
Nandhini Deluxe,Jayanagar,North Indian,3.5/5,600
Rajdhani Thali Restaurant,JP Nagar,North Indian,3.9/5,900
Kadala Tarangaa,Banashankari,"Mangalorean, Seafood, North Indian",3.6/5,600
Mezban Family Restaurant,Basavanagudi,"Chinese, North Indian",,300
Mycakeshop,BTM,"Bakery, Desserts",,300
Tasty Magic,BTM,"Chinese, North Indian",2.7/5,600
Authentic Aandhra,BTM,"Andhra, North Indian",NEW,300
Basmati Delights,BTM,"Biryani, Chinese, Mughlai, Fast Food, Kebab",4.0/5,500
Cucumber Town,BTM,"Kerala, North Indian",4.2/5,600
Karavali Kolimane,Wilson Garden,"Mangalorean, Chinese, North Indian",3.7/5,350
Once In Nature,JP Nagar,Healthy Food,3.7/5,300
Durga Sagar,Shanti Nagar,South Indian,3.4/5,150
Tree Top,Wilson Garden,"Continental, Chinese, North Indian, South Indian",3.8/5,"1,000"
Jayanagara Donne Biryani,Jayanagar,"Biryani, South Indian",3.6/5,400
Tandoori,Koramangala 5th Block,"North Indian, Rolls",,300
Cafe Aira,Basavanagudi,"Cafe, Continental, Beverages, Desserts",4.1/5,500
Gramin,Koramangala 7th Block,North Indian,4.3/5,600
Foodizo,Banashankari,"Desserts, Fast Food, Continental",3.6/5,300
Amande Patisserie,Basavanagudi,"Bakery, French, Desserts",4.0/5,300
A Hole Lotta Love Cafe,Koramangala 5th Block,"Cafe, American, Burger, Sandwich, Beverages",4.4/5,600
Salt - Indian Restaurant Bar & Grill,Koramangala 7th Block,"North Indian, Mughlai, Biryani",4.4/5,"1,500"
Mangalore Pearl,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",3.8/5,650
Karma Kaapi,Jayanagar,"Beverages, Tea",4.4/5,250
Al Khaleej Snacks Corner,Jayanagar,"Lebanese, Fast Food, Beverages",NEW,200
Anvar Bhai's,BTM,North Indian,,250
Arabian Bites,BTM,"North Indian, Chinese",3.4/5,300
Casa Piccosa,JP Nagar,"South American, Continental, Italian",4.1/5,"1,100"
The Krishna Grand,Banashankari,"North Indian, South Indian, Chinese, Fast Food, Juices",3.9/5,750
Skinz Ooty Chocolate,Koramangala 8th Block,Desserts,,200
Trendz Corner,Jayanagar,"South Indian, North Indian",3.6/5,200
Cafe Terra,Jayanagar,"Cafe, Continental",NEW,700
Min Mini Punjabi Dhaba,Koramangala 7th Block,North Indian,3.9/5,400
Heaven 2 Oven,BTM,Chinese,NEW,300
Bake and Juice,BTM,Fast Food,3.5/5,400
Frolic,Koramangala 7th Block,"Juices, Ice Cream",3.9/5,200
Swadesh Tadka,Banashankari,"North Indian, Chinese, Beverages",3.5/5,600
Krazzy Folds,Jayanagar,"Cafe, Continental, Sandwich, Beverages",4.3/5,800
Knight Ryders,BTM,"North Indian, Chinese",3.4/5,400
Gud Dhani,BTM,Rajasthani,4.0/5,500
Sambram Biriyani Paradise,JP Nagar,"Biryani, North Indian, Chinese",3.6/5,600
New Gongura's,BTM,"Andhra, Biryani, North Indian, Chinese",3.7/5,550
Green Go,Bannerghatta Road,"Beverages, Juices",NEW,200
Malabar Xpress,Koramangala 5th Block,"South Indian, Kerala",,300
Nagarjuna Chimney,Jayanagar,"Andhra, Biryani",4.0/5,600
Sreeraj Lassi Bar,Jayanagar,"Beverages, Desserts",4.1/5,150
Chats Point,Basavanagudi,"Fast Food, Street Food",3.4/5,150
Food Court,JP Nagar,"North Indian, Chinese",,300
Karavali Grand,Koramangala 5th Block,"Mangalorean, Seafood, North Indian, Chinese",3.7/5,600
Vietnamese Kitchen,Banashankari,Vietnamese,3.6/5,700
Fitnest,BTM,"Healthy Food, North Indian",3.2/5,350
Asia Kitchen By Mainland China,Koramangala 5th Block,"Asian, Chinese, Thai, Momos",4.9/5,"1,500"
Rajvardhan Foods,Jayanagar,"Street Food, Maharashtrian",3.9/5,300
New Prashanth Hotel,Jayanagar,"South Indian, Biryani, Chinese, North Indian",3.6/5,750
Zingron,Koramangala 7th Block,"Chinese, Naga",4.0/5,750
Timepass Dinner,Basavanagudi,North Indian,3.8/5,600
Aniram's,JP Nagar,"Chinese, North Indian",4.1/5,500
Tentacles,BTM,"North Indian, Chinese, Seafood",,600
A Today Thick Shakes,Koramangala 5th Block,Beverages,3.2/5,200
Bombay Kulfis,Koramangala 5th Block,Ice Cream,3.9/5,200
Thamboola,Banashankari,"North Indian, Chinese, Continental",3.8/5,800
Vaathsalya Millet Cafe,JP Nagar,"Healthy Food, South Indian",4.1/5,500
4th Tea Block,Jayanagar,Cafe,4.0/5,150
Crunchy Nights,BTM,"North Indian, Chinese, Continental",3.7/5,350
Ugadi,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",2.9/5,700
Clove Rooftop,Jayanagar,"Konkan, Seafood",3.8/5,"1,000"
Gufha - The President Hotel,Jayanagar,"North Indian, Mughlai, Afghan",4.1/5,"1,200"
Ascharya Hotel,Koramangala 5th Block,"Mangalorean, South Indian",3.4/5,300
Chaatimes,BTM,"Street Food, Fast Food",4.2/5,250
Momo Time,BTM,"Momos, American",,600
Kababish Restaurant,BTM,"North Indian, Chinese, Arabian",3.6/5,700
Habitts,BTM,"Fast Food, Burger, Italian, Beverages",3.7/5,350
Kullukki,Koramangala 5th Block,"Juices, Beverages, Fast Food",3.5/5,400
Lassi Pot,BTM,Beverages,3.3/5,250
Cafe 221B,BTM,"Cafe, Beverages",3.7/5,300
The Cuboidal,BTM,"Fast Food, Beverages, Sandwich",3.6/5,300
Desi Rasoi,Jayanagar,"Biryani, North Indian, Chinese, Rajasthani",3.8/5,600
Parathe Wali Gali,Wilson Garden,North Indian,3.9/5,250
Nellore Ruchulu,Bannerghatta Road,"North Indian, South Indian, Chinese",3.7/5,800
Eat Repeat,Basavanagudi,South Indian,3.9/5,150
Big Bites,Jayanagar,"Chinese, Fast Food",3.6/5,200
Rithika's Kitchen,JP Nagar,"Biryani, South Indian, Andhra",3.8/5,350
Divina - Eden Park Restaurants,Jayanagar,Desserts,4.0/5,400
Kapoor's Cafe,Jayanagar,North Indian,4.2/5,800
Eatsomnia,JP Nagar,"North Indian, South Indian, Chinese, Continental",NEW,500
Chulha Chauki Da Dhaba,JP Nagar,North Indian,4.3/5,800
Just Bake,Jayanagar,"Bakery, Desserts",3.8/5,400
Tandoor Garden,BTM,"North Indian, Chinese, Kebab",3.6/5,350
BBQ Ride 46,South Bangalore,BBQ,3.4/5,200
Patiala House,Koramangala 7th Block,"North Indian, Rolls, Chinese, Biryani",,300
Sky Juice Corner,Koramangala 5th Block,Juices,,100
Nanna Munna Paratha House,BTM,North Indian,4.0/5,300
Modern Restaurant,BTM,"North Indian, Chinese",3.1/5,450
Food Springs,Jayanagar,"South Indian, Chinese",4.0/5,400
Royal Paris,BTM,"North Indian, Arabian, Chinese",3.9/5,"1,000"
Biriyani Mane,Jayanagar,"North Indian, Biryani",3.9/5,400
Cuppa,Jayanagar,"Cafe, Fast Food",3.2/5,550
Miss Momo,BTM,"Tibetan, Momos",3.2/5,250
The Vacationer's Cafe,Koramangala 7th Block,"Cafe, Continental, Mexican",4.1/5,600
Bangalore Donne Biriyani,Kumaraswamy Layout,"South Indian, Biryani",3.2/5,300
Rotti Mane,Jayanagar,South Indian,3.7/5,200
Dilli ??,South Bangalore,North Indian,,500
Meal Square,Bannerghatta Road,"North Indian, Chinese",3.4/5,600
Kamat Minerva,Basavanagudi,"South Indian, North Indian, Chinese",2.6/5,300
Hotel Food Lands,Koramangala 7th Block,"Seafood, Mangalorean",3.8/5,700
Gujrati Mess,JP Nagar,Gujarati,3.6/5,200
China Town 07,BTM,"Chinese, Momos",NEW,300
Grills And Tandoor,Koramangala 5th Block,"North Indian, Chinese",3.7/5,900
Oye Amritsar,JP Nagar,North Indian,3.8/5,600
The Enav Bowl,Koramangala 5th Block,"Healthy Food, Beverages, Mexican, Burger, Italian",3.8/5,
Hyderabad Bawarchi,Jayanagar,"North Indian, Biryani, Chinese",3.9/5,800
Juicemaker,Jayanagar,"Juices, Fast Food",3.8/5,300
Chung Wah,Jayanagar,"Chinese, Thai, Momos",3.7/5,850
Zengi Pub & Restaurant,BTM,"Finger Food, Continental, Chinese",3.7/5,900
Rayaan's BBQ,BTM,"North Indian, BBQ",3.3/5,350
Davangere Benna Dose Hotel,Jayanagar,South Indian,4.1/5,100
Appana Restaurant,BTM,North Indian,3.5/5,300
Sri Krishna Sweets,Jayanagar,Mithai,,100
Coffee House,Jayanagar,"Beverages, Bakery",,150
1980s Games Cafe,Basavanagudi,"Cafe, Fast Food",3.4/5,400
Zhang's - Chinese Restaurant,JP Nagar,"Chinese, Momos",4.1/5,700
Dalma,Koramangala 6th Block,Oriya,3.9/5,600
Biryani Foodies,Koramangala 5th Block,"Biryani, Mughlai",3.1/5,500
Kanchanjunga Kitchen - The Flavour of Hills,Koramangala 8th Block,"Chinese, Nepalese, Tibetan, Momos",,300
Rakesh Kumar Pani Poori,Jayanagar,Street Food,3.6/5,100
Butter Cup,Jayanagar,"Desserts, Bakery",3.5/5,250
Crave Bite,Jayanagar,"Chinese, Italian, Fast Food, Momos",3.6/5,400
Hotel Aradhana,Bannerghatta Road,North Indian,3.7/5,300
Priya Restaurant,Jayanagar,"South Indian, North Indian",,250
Juice And Joy,Jayanagar,"Beverages, Fast Food",,150
Tandoor And Spice,JP Nagar,"North Indian, Chinese, Biryani, Hyderabadi",4.0/5,550
UNIK Food,Jayanagar,"North Indian, Chinese",3.3/5,300
Baba Ka Dhaba,BTM,North Indian,3.7/5,400
Chung's Chinese Corner,Jayanagar,Chinese,3.9/5,700
Buff Buffet Buff,Koramangala 5th Block,"North Indian, Chinese, Continental, Thai, Salad",4.5/5,"1,500"
Tim Tai,Koramangala 5th Block,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese",4.4/5,"1,400"
Jalsa,Banashankari,"North Indian, Mughlai, Chinese",4.1/5,800
Lakshmi Sweets,Jayanagar,Mithai,,250
Sri Basaveshwara Rotti Oota,Jayanagar,"South Indian, Fast Food",,200
Natha & Lobo's,Jayanagar,"Chinese, North Indian",,500
Rishab Bhawan,Jayanagar,"Fast Food, Street Food",,150
New Biryani Mane,Jayanagar,"South Indian, Biryani",,400
The Table,Jayanagar,"Bakery, Desserts",,400
Bengaluru Foodies,Jayanagar,"North Indian, South Indian",,300
Aliyar Cafe Sweet Palace,Jayanagar,"Fast Food, Burger, Rolls, Beverages",,250
New Sri Udupi Restaurant,Jayanagar,"North Indian, South Indian, Chinese, Beverages, Fast Food",,200
I-Scoop Cafe,Jayanagar,"Fast Food, Pizza, Desserts",NEW,300
Fishland Deluxe,Jayanagar,"South Indian, North Indian, Chinese, Kebab",3.5/5,500
The Lounge - Eden Park Restaurants,Jayanagar,"North Indian, Afghan",3.8/5,"1,350"
Al-Marhaba Restaurant,BTM,"Arabian, Chinese, North Indian, Rolls, Momos",NEW,400
Desi Aahar,BTM,"North Indian, Chinese, Seafood",NEW,400
Borah's Kitchen,BTM,"North Indian, Chinese",3.3/5,250
Papacream,JP Nagar,"Desserts, Ice Cream",3.7/5,350
Eat Well,JP Nagar,"North Indian, Chinese",2.9/5,400
Punjabi Raswada,Jayanagar,North Indian,3.5/5,800
The Yellow Chilli,Jayanagar,"North Indian, Mughlai, Biryani",3.8/5,"1,200"
Sihi Chocolaterie,Jayanagar,Desserts,3.7/5,300
Gundu Pulav,Jayanagar,Biryani,3.3/5,400
MRS Paradise,Jayanagar,"South Indian, North Indian, Chinese",3.4/5,650
Lord of Combos,Jayanagar,North Indian,,500
The Little Kitchen,Jayanagar,"Chinese, Momos",3.8/5,300
Sri Udupi Veg,Jayanagar,South Indian,3.3/5,250
The Sofraah Kebabs & Kurries - Eden Park Restaurants,Jayanagar,"North Indian, Afghan",3.8/5,"1,350"
Mad Over Biryani,JP Nagar,"North Indian, Biryani",3.3/5,600
Bhaijaan Barbeques,Koramangala 7th Block,"Mughlai, Arabian, BBQ",3.4/5,200
Karnataka Biriyani Centre,Jayanagar,Biryani,,200
Murali Miltary Hotel,Jayanagar,Biryani,,300
Sneha's Kitchen,Jayanagar,North Indian,,200
Rustic Treats,Jayanagar,"Street Food, Cafe",3.3/5,400
Candy Cake,Jayanagar,Bakery,,500
Night Restro,BTM,"North Indian, Chinese",3.1/5,500
Millet Mama,Basavanagudi,"South Indian, Healthy Food",3.9/5,200
WOW Laddus,JP Nagar,Mithai,,800
Popsies,Koramangala 5th Block,"Chinese, Momos",3.9/5,550
Kafe Nook,BTM,Fast Food,3.6/5,300
TheRiceBowl.In,BTM,"Biryani, North Indian",3.4/5,200
Brewz Coffee,BTM,Cafe,3.0/5,650
Tomago Roast,BTM,"Fast Food, Beverages",3.5/5,400
Hatti Punjab Di,Jayanagar,"North Indian, Chinese",,600
RBP Greens Garden,BTM,"North Indian, Chinese",2.7/5,700
Fitbakes,Jayanagar,"Bakery, Healthy Food",3.6/5,400
Mint and Mustard,Basavanagudi,"North Indian, Chinese",4.0/5,750
Cafemoto,Koramangala 5th Block,"Cafe, Continental, Italian, Burger",4.0/5,800
Indus Family Restaurant,BTM,"North Indian, Biryani",3.8/5,600
JP Fish Land,BTM,Seafood,3.6/5,300
Spice Up,JP Nagar,Chinese,3.8/5,600
Venkateshwara Foods,Residency Road,"Street Food, South Indian",3.0/5,400
The Retro,Koramangala 7th Block,"Chinese, Burger",3.2/5,300
Namma Kudla,JP Nagar,"Mangalorean, North Indian, Chinese, Seafood",4.0/5,400
China Pearl,Koramangala 6th Block,Chinese,4.4/5,"1,100"
Bonsouth,Koramangala 5th Block,"Chettinad, Andhra, Kerala",4.2/5,"1,300"
The Denny's,Jayanagar,"North Indian, Chinese",3.7/5,900
Momo Hut,Koramangala 5th Block,"Chinese, Tibetan, Momos",4.0/5,250
Armaani Caffe,BTM,Fast Food,3.5/5,250
Shake Tat Bottle,BTM,Beverages,3.3/5,200
Restro Cafe,Jayanagar,Cafe,3.8/5,400
The Kream Story,Koramangala 7th Block,"Desserts, Fast Food",4.1/5,500
Jalpaan,Jayanagar,"North Indian, Continental",4.0/5,900
Tandoor Hut,Koramangala 5th Block,"North Indian, Mughlai, Chinese, Rolls",4.1/5,700
Dal Roti,JP Nagar,North Indian,3.7/5,150
Central Jail Restaurant,Jayanagar,"Andhra, Seafood, North Indian, Chinese",3.8/5,700
Chutney Chang,Jayanagar,"North Indian, Chinese, BBQ",4.1/5,"1,500"
Kataria's Pakwan,Kumaraswamy Layout,North Indian,3.3/5,400
Kamat Bugle Rock,Basavanagudi,"South Indian, Fast Food",3.9/5,300
Goodness! Beverages,Koramangala,Beverages,3.4/5,250
Hungry Haters,JP Nagar,"Chinese, North Indian",,300
Halli Rotti Manne,Jayanagar,South Indian,3.4/5,100
Hara Fine Dine,Banashankari,"North Indian, Chinese",4.0/5,800
Sultans of Spice,Koramangala 5th Block,"North Indian, Mughlai, Salad",4.5/5,"1,300"
The Paratha Stories,JP Nagar,North Indian,NEW,250
Naati Manae,Koramangala 5th Block,"North Indian, South Indian, Chinese, Biryani",3.9/5,700
The Royal Corner - Pai Viceroy,Jayanagar,"North Indian, Chinese",4.2/5,900
Subz,Jayanagar,"North Indian, South Indian",4.2/5,"1,000"
Hotel Ruchi Priya,Wilson Garden,North Indian,3.6/5,350
Kolkata Restaurant,Jayanagar,"Bengali, North Indian, Chinese",3.0/5,300
You N Cane,Jayanagar,"Beverages, Juices",,250
Double Blend,BTM,"Beverages, Juices, Ice Cream",3.6/5,200
New Rajadhani Spicy,Kumaraswamy Layout,North Indian,3.7/5,700
Bella,Jayanagar,"Mangalorean, Seafood, South Indian",3.9/5,"1,000"
Polamma's Mess,BTM,"North Indian, Chinese, Biryani",4.2/5,300
B.M.W Bhookh Mitaane Wala,JP Nagar,"North Indian, South Indian, Chinese",3.6/5,500
Kitchen24,BTM,"Italian, Continental, Chinese, Thai, American, Arabian",NEW,300
Gods Own Cafe,Koramangala 7th Block,"South Indian, Kerala, Seafood",4.4/5,300
Cable Car,Jayanagar,"North Indian, Italian",4.3/5,"1,000"
Chef All Nite,BTM,"Chinese, North Indian",3.9/5,300
Northern Bites,Bannerghatta Road,"North Indian, Chinese",3.2/5,400
Sri Krishna Sagar,Banashankari,"North Indian, Chinese",3.2/5,400
Nite Out,JP Nagar,"North Indian, Chinese, Biryani",3.9/5,500
Forum Bakes & Cafe,Koramangala 8th Block,"Bakery, Fast Food",,200
Smoke Oil Salt,BTM,Arabian,NEW,850
Night Spoon,BTM,"Biryani, Chinese, North Indian",2.6/5,600
Hungry Buddies,BTM,North Indian,3.4/5,150
Punjabi Times,Bannerghatta Road,North Indian,4.1/5,"1,000"
Hunger Night King,Koramangala 2nd Block,"North Indian, Chinese",3.6/5,400
Vindu Andhra Ruchulu,Jayanagar,"Biryani, North Indian, Andhra",3.8/5,800
Bun Town,Koramangala 5th Block,"Cafe, Bakery",3.8/5,500
Tawa Sagara,Jayanagar,"Mangalorean, Seafood",3.8/5,
The Kitchen Bandit,Koramangala 2nd Block,"Chinese, North Indian, Fast Food",3.2/5,350
China Tang,BTM,Chinese,3.7/5,600
Pallavi North Indian Veg Restaurant,JP Nagar,"Biryani, North Indian, Chinese",3.7/5,450
Mandi,JP Nagar,North Indian,3.8/5,800
Friends Night Kitchen,Koramangala 6th Block,"Italian, Pizza",3.8/5,400
Kollapuri's,Jayanagar,Maharashtrian,3.6/5,600
Vennela Andhra Meals,Jayanagar,Andhra,3.0/5,400
Bawarchi Inn,BTM,"North Indian, Biryani, Andhra, Chinese",3.1/5,600
Brews N Bites,Jayanagar,"Chinese, Fast Food, Cafe",2.9/5,650
Crepe Nation,South Bangalore,"Fast Food, Desserts",3.8/5,300
Earth Plate Express,JP Nagar,"Italian, Continental",3.9/5,600
Samskruti - Sanman Gardenia,Jayanagar,"North Indian, Chinese, South Indian",4.0/5,550
Donne Biryani Mane,Wilson Garden,Biryani,3.2/5,300
Healthy Parathawala,BTM,North Indian,NEW,200
DeliBox.in,BTM,South Indian,3.7/5,150
Jhasaa,BTM,"Seafood, Salad, North Indian, Biryani, Chinese",3.2/5,500
Naati Biriyani,BTM,"Kebab, Biryani",3.1/5,300
The Breakfast Adda,Bannerghatta Road,Continental,,250
Totus,BTM,Chinese,NEW,300
Jayanagar Grill House,Jayanagar,"Biryani, Kebab",3.5/5,250
Sattvam,JP Nagar,"North Indian, South Indian",4.3/5,"1,200"
Redberrys,Basavanagudi,"Cafe, Italian",4.0/5,600
Food Times,JP Nagar,"North Indian, Arabian",,300
The Biryani House,JP Nagar,Andhra,,400
Kesariya,JP Nagar,Rajasthani,4.2/5,"1,200"
Ganesh Restaurant,Koramangala 5th Block,"Chinese, Street Food",3.7/5,300
Happy Eats,Koramangala 7th Block,"North Indian, Continental",NEW,300
Swaadam Veg,BTM,"South Indian, Chinese",3.6/5,300
Roll N Rock,JP Nagar,"Chinese, North Indian, Mughlai, Rolls",3.7/5,400
2nd Home Restaurant,BTM,"South Indian, North Indian, Chinese",3.7/5,500
India On Wheels,Koramangala 3rd Block,North Indian,3.6/5,400
Royal View Restaurant,BTM,"North Indian, Chinese, Arabian",3.7/5,700
Baba Chatkora,JP Nagar,North Indian,NEW,"1,000"
Nandhana Palace,JP Nagar,"Andhra, Biryani, North Indian, Chinese",4.3/5,800
Narmadha's Hyderabad Biriyani,BTM,"Biryani, North Indian, Andhra",3.9/5,550
Coastal Mama,JP Nagar,"Konkan, Mangalorean, North Indian, Seafood",4.1/5,700
Fogg,BTM,"Fast Food, Chinese",NEW,200
Tasty Bites,JP Nagar,North Indian,3.8/5,450
Sri Lakshmi Curries & Pickles,JP Nagar,"Andhra, Biryani",2.9/5,400
Nouvelle Garden,JP Nagar,"North Indian, Continental, Italian",3.7/5,900
The Punjabi Rasoi,JP Nagar,North Indian,NEW,800
Royal Chef Naati Oota,JP Nagar,"South Indian, Biryani, North Indian",4.0/5,500
Keshava Kabab Centre,JP Nagar,North Indian,3.2/5,200
Night Cafe,BTM,"North Indian, Chinese, Fast Food",3.0/5,350
Donne Biriyani Mane,JP Nagar,"Biryani, Kebab",,250
Singh Punjabi Dhaba,BTM,"North Indian, Chinese",3.8/5,400
Kidambi's Kitchen,Banashankari,South Indian,3.5/5,300
Kholi Mane,Basavanagudi,"Andhra, South Indian, Biryani, North Indian",3.6/5,450
Biryani Knights,JP Nagar,Biryani,3.6/5,300
Sambram,JP Nagar,"Biryani, North Indian",,800
Swad Family Restaurant,Bannerghatta Road,"North Indian, Chinese",,650
Hunger Nights,JP Nagar,"Chinese, North Indian",,400
late100,BTM,"North Indian, Kebab",,200
Taruni Foods,JP Nagar,"Andhra, Biryani",,300
NEW SUNRISE RESTAURANTS,JP Nagar,"North Indian, Chinese, Biryani",2.7/5,500
The Maori - Aurick Boutique Hotel,JP Nagar,"Chinese, North Indian",3.5/5,"1,000"
Singh Da Dhaba,BTM,North Indian,3.3/5,400
Amaravati Grand,BTM,"Chinese, Andhra, Mangalorean",3.4/5,550
Sea Horse,JP Nagar,"Seafood, Chinese, South Indian, North Indian",3.4/5,500
Nati Biriyani Mane,JP Nagar,"Biryani, South Indian",3.2/5,200
Night Panda,JP Nagar,"Fast Food, North Indian, Chinese",2.9/5,500
North Indian Meals,JP Nagar,North Indian,3.2/5,300
E2 - EntrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©e Envoy,BTM,"Chinese, North Indian, Biryani",3.5/5,550
BongHomie,BTM,"Bengali, North Indian",3.4/5,300
Kombo King,BTM,"North Indian, South Indian",,300
Owly,Koramangala,"Fast Food, North Indian",3.7/5,350
Chilli N Chicken,JP Nagar,Andhra,3.2/5,400
Hungry Nights,BTM,"Chinese, North Indian",3.0/5,300
Night Bell,South Bangalore,"Fast Food, North Indian",3.1/5,450
Uttara Karanataka Mess,JP Nagar,South Indian,3.3/5,200
Swad Restaurant,BTM,"Chinese, North Indian",3.7/5,550
Moms Flavor,JP Nagar,"North Indian, Chinese",NEW,400
Sri's Kitchen,JP Nagar,"North Indian, South Indian, Chinese",NEW,300
Ghar Ki Rasoi,Koramangala 8th Block,"North Indian, South Indian",,300
Midnight Restro,BTM,"North Indian, Fast Food",3.4/5,500
Swad Plaza,BTM,"North Indian, Chinese",3.4/5,400
Red Bawarchi,BTM,"Biryani, Chinese, North Indian",3.0/5,600
Flavour of China,BTM,Chinese,3.8/5,550
Status,Bannerghatta Road,"North Indian, Chinese",3.3/5,600
BTM Bawarchi Biryani,BTM,"Biryani, North Indian, Chinese",3.5/5,600
New Grand Restaurant,BTM,"North Indian, South Indian, Biryani",3.1/5,500
Food Geek,Basavanagudi,"Sandwich, Fast Food, Rolls",3.8/5,350
Natuna Seafood House,Koramangala 5th Block,Seafood,4.2/5,450
Happy Chopsticks,Basavanagudi,"Chinese, Fast Food",3.6/5,300
Spicy World,JP Nagar,North Indian,3.4/5,200
Bhandary's Kitchen,Koramangala 7th Block,North Indian,3.6/5,300
Hungry Stone,Koramangala 5th Block,"North Indian, Chinese, Italian, Thai",,300
Perch,BTM,Italian,NEW,350
Melt - Eden Park,JP Nagar,"North Indian, Chinese, Thai, Mughlai, Seafood",4.0/5,"1,000"
Combo Box,Koramangala 7th Block,"North Indian, Biryani, Chinese",3.0/5,500
Desi Vibes,BTM,"North Indian, Chinese",3.7/5,600
Gharelu Zaika,JP Nagar,North Indian,3.7/5,250
Eshanya,Jayanagar,"North Indian, Chinese",4.1/5,"1,000"
HungerLoft,BTM,"North Indian, Chinese, Arabian",2.6/5,800
Banana Beach Bar,Koramangala 6th Block,"Continental, Chinese",3.7/5,"1,300"
Billionaires Cafe,Koramangala 5th Block,"Cafe, Italian",3.8/5,600
Mangalore Lunch Home,BTM,"North Indian, South Indian, Mangalorean",3.6/5,250
Kulfi & More,BTM,"Ice Cream, Beverages",3.7/5,200
Sagar Fast Food,BTM,"South Indian, Chinese, North Indian",3.7/5,300
Siddique Kabab Centre,Jayanagar,"Mughlai, Kebab, Chinese",3.1/5,550
Shake The Shake,BTM,Juices,,200
Kallummakkaya,BTM,"South Indian, North Indian",NEW,200
Dice N Dine,Koramangala 5th Block,"Continental, Cafe, Italian, Fast Food, Steak",4.3/5,900
Dakshin Kitchen,Basavanagudi,South Indian,3.6/5,100
South Kitchen,Basavanagudi,South Indian,4.3/5,100
Homely Curries & Pickles,BTM,"Biryani, Andhra",3.4/5,300
Just Bite@Late Night,BTM,"Sandwich, Fast Food, Burger, Rolls",,300
Hyderabadi Biryani Flames,BTM,"Biryani, Andhra",,300
Maxpresso,Koramangala 7th Block,"Cafe, American, Italian, Beverages",4.1/5,700
Cafe Fattoush,BTM,"Cafe, Lebanese",3.8/5,700
Sandwich Shop,JP Nagar,"Fast Food, Burger, Sandwich",2.9/5,400
Juice Fresco,Koramangala 4th Block,Beverages,3.4/5,150
The Lassi Park,Jayanagar,"Juices, Desserts",4.1/5,200
Durbar Greens Family Restaurant,Hosur Road,"North Indian, Chinese, South Indian",3.6/5,700
Cool Bites,Koramangala 4th Block,"Fast Food, Juices",,200
The Cravery,JP Nagar,Cafe,2.6/5,500
Sids Cafe,Koramangala 5th Block,Fast Food,,200
Tongue Twisters,BTM,"Bengali, North Indian, Oriya",3.5/5,350
Kapoor's Biriyani,BTM,"Biryani, North Indian",3.3/5,400
Upahara Darshini,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food",3.9/5,600
The Juicy,JP Nagar,"Beverages, Juices",3.5/5,100
Akshaya Grand,BTM,North Indian,3.4/5,750
Targaryen's Kitchen,JP Nagar,"Chinese, North Indian, Mughlai",3.6/5,600
